tag,scenario,scenario_label,cancer,fold,regime,ibs,delta_ibs,n_train,seer_n
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_n001k_00pct,0.06725544032166958,-0.06117275543915929,11878.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_n003k_00pct,0.05512827923148032,-0.07329991652934854,13880.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_n010k_00pct,0.04505052510642512,-0.08337767065440374,20878.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_n035k_00pct,0.0392645011140859,-0.08916369464674297,45878.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_01pct,0.026342355205218975,-0.13611459680464005,81866.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_05pct,0.02375799660115029,-0.13869895540870872,365621.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_100pct,0.02821662903915636,-0.13424032297070265,7104771.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_10pct,0.02521224936676974,-0.13724470264308927,720312.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_20pct,0.026592272955530783,-0.13586467905432822,1429699.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_50pct,0.027988643803691392,-0.13446830820616762,3557848.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_n001k_00pct,0.07609202335920856,-0.08636492865065046,11927.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_n003k_00pct,0.04852901450563332,-0.1139279375042257,13929.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_n010k_00pct,0.038180271929547885,-0.12427668008031113,20927.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRP,mean,seer_n035k_00pct,0.030968337596479257,-0.13148861441337975,45927.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_01pct,0.030157852158263256,-0.17953478255164254,81889.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_05pct,0.04298867155341907,-0.16670396315648672,365644.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_100pct,0.05978795875242677,-0.14990467595747903,7104795.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_10pct,0.03733446363313313,-0.17235817107677265,720335.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_20pct,0.05205200621492297,-0.1576406284949828,1429722.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_50pct,0.064594061610084,-0.14509857309982177,3557872.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_n001k_00pct,0.03836203826664094,-0.17133059644326484,11951.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_n003k_00pct,0.0340735249244618,-0.17561910978544398,13953.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_n010k_00pct,0.03371340186759856,-0.17597923284230724,20951.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LAML,mean,seer_n035k_00pct,0.031571419589107745,-0.17812121512079804,45951.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_01pct,0.029229285408646777,-0.14485826706530303,81822.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_05pct,0.030134631074959804,-0.14395292139899,365577.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_100pct,0.040837268286425664,-0.13325028418752413,7104727.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_10pct,0.030602361062470912,-0.1434851914114789,720268.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_20pct,0.03286828777967025,-0.14121926469427956,1429655.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_50pct,0.035306067706345645,-0.13878148476760416,3557804.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_n001k_00pct,0.08338732718586939,-0.09070022528808042,11883.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_n003k_00pct,0.05841740948752205,-0.11567014298642775,13885.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_n010k_00pct,0.03591868301198286,-0.13816886946196694,20883.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LGG,mean,seer_n035k_00pct,0.02916535255957406,-0.14492219991437574,45883.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LIHC,mean,seer_01pct,0.030655465640983388,-0.16621692340481561,81850.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LIHC,mean,seer_05pct,0.029923357432149623,-0.16694903161364938,365605.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LIHC,mean,seer_100pct,0.03857313643296256,-0.15829925261283645,7104755.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LIHC,mean,seer_10pct,0.03292958078647418,-0.16394280825932483,720296.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LIHC,mean,seer_20pct,0.03287439184367615,-0.16399799720212285,1429683.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,LIHC,mean,seer_50pct,0.03647927395690153,-0.16039311508889748,3557832.0,nan
