scenario,scenario_label,group,cancer,x_index,x_label,x_label_plain,x_axis_title,regime,delta_ibs,display_delta_ibs,raw_delta_ibs,ibs_mean,n_folds,is_interpolated,color
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,7,100%,100%,TCGA subset size,tcga_frac1p00,0.06677034585361791,0.06677034585361791,0.06677034585361791,0.256350666844226,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,0,Single-<br>cancer<br>TCGA,Single- cancer TCGA,TCGA subset size,single_cancer_tcga_baseline,0.0,0.0,0.0,0.17158701151986538,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,1,1%,1%,TCGA subset size,tcga_frac0p01,-0.08042902288732892,-0.08042902288732892,-0.08042902288732892,0.09115798863253646,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,2,2%,2%,TCGA subset size,tcga_frac0p02,-0.08692384555745411,-0.08692384555745411,-0.08692384555745411,0.08466316596241127,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,3,5%,5%,TCGA subset size,tcga_frac0p05,-0.1000005011085161,-0.1000005011085161,-0.1000005011085161,0.07158651041134928,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,4,10%,10%,TCGA subset size,tcga_frac0p10,-0.13146589777655374,-0.13146589777655374,-0.13146589777655374,0.04012111374331165,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,5,20%,20%,TCGA subset size,tcga_frac0p20,-0.132683854394484,-0.132683854394484,-0.132683854394484,0.038903157125381393,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,6,50%,50%,TCGA subset size,tcga_frac0p50,-0.13685414400511742,-0.13685414400511742,-0.13685414400511742,0.03473286751474797,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,ESCA,7,100%,100%,TCGA subset size,tcga_frac1p00,-0.14387960551503223,-0.14387960551503223,-0.14387960551503223,0.02770740600483315,5,0,#006ff4
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,0,Single-<br>cancer<br>TCGA,Single- cancer TCGA,TCGA subset size,single_cancer_tcga_baseline,0.0,0.0,0.0,0.07419544391772423,5,0,#ffa6a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,1,1%,1%,TCGA subset size,tcga_frac0p01,0.03778728740319373,0.03778728740319373,0.03778728740319373,0.11198273132091796,5,0,#ffa6a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,2,2%,2%,TCGA subset size,tcga_frac0p02,0.04430798295651586,0.04430798295651586,0.04430798295651586,0.11850342687424009,5,0,#ffa6a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,3,5%,5%,TCGA subset size,tcga_frac0p05,0.007225172905197169,0.007225172905197169,0.007225172905197169,0.0814206168229214,5,0,#ffa6a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,4,10%,10%,TCGA subset size,tcga_frac0p10,-0.007156211232718437,-0.007156211232718437,-0.007156211232718437,0.06703923268500579,5,0,#ffa6a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,5,20%,20%,TCGA subset size,tcga_frac0p20,-0.017368218011045718,-0.017368218011045718,-0.017368218011045718,0.05682722590667851,5,0,#ffa6a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,GBM,6,50%,50%,TCGA subset size,tcga_frac0p50,-0.025944583324839163,-0.025944583324839163,-0.025944583324839163,0.04825086059288507,5,0,#ffa6a6
